** File generated by WinEP - 5/10/2016 (5:23p) **

Station 	StrAV_SW
711.111755	0.363527
711.945923	0.342244
712.780090	0.308524
713.614258	0.347358
714.448425	0.347810
715.282593	0.358813
716.116760	0.351013
716.950928	0.351328
717.785095	0.340040
718.619324	0.312870
719.453491	0.351410
720.287720	0.351713
721.121887	0.362281
721.956116	0.338512
722.790344	0.349421
723.624573	0.344494
724.458740	0.317177
725.292969	0.355351
726.127136	0.355128
726.961304	0.349584
727.795532	0.336495
728.629700	0.354171
729.463867	0.349457
730.298096	0.320392
731.132263	0.357900
731.966431	0.341486
732.800659	0.346719
733.634827	0.340357
734.468994	0.357599
735.303223	0.352899
736.137390	0.322898
736.971619	0.345462
737.805786	0.339267
738.640015	0.350349
739.474243	0.344492
740.308472	0.361191
741.142700	0.355224
741.976929	0.310304
742.811218	0.343090
743.645447	0.343625
744.479675	0.354578
745.313843	0.347732
746.148071	0.364442
746.982300	0.342823
747.816528	0.308127
748.650696	0.347663
749.484924	0.347618
750.319153	0.357225
751.153320	0.350212
751.987549	0.352806
752.821716	0.339174
753.655945	0.311704
754.490173	0.350687
755.324402	0.351347
756.158630	0.360131
756.992859	0.337642
757.827087	0.348567
758.661316	0.342981
759.495544	0.315601
760.329773	0.354588
761.164063	0.353616
761.998352	0.347312
762.832581	0.335462
763.666870	0.352810
764.501099	0.347007
765.335327	0.318884
766.169556	0.357884
767.003784	0.341408
767.838013	0.346023
768.672241	0.340060
769.506470	0.356902
770.340698	0.350187
771.174927	0.321279
772.009155	0.344676
772.843384	0.338028
773.677612	0.348853
774.511902	0.343516
775.346130	0.360695
776.180359	0.352716
777.014587	0.308982
777.848877	0.342168
778.683105	0.342048
779.517395	0.352907
780.351685	0.347101
781.185974	0.362957
782.020264	0.340562
782.854553	0.307146
783.688782	0.347142
784.523071	0.345905
785.357361	0.356424
786.191589	0.350744
787.025879	0.351252
787.860107	0.339177
788.694336	0.311360
789.528625	0.351505
790.362854	0.349051
791.197083	0.358955
792.031372	0.337577
792.865601	0.347684
793.699829	0.342335
794.534119	0.314920
795.368347	0.354448
796.202637	0.351531
797.036926	0.347245
797.871155	0.335255
798.705444	0.351692
799.539734	0.347346
800.374084	0.318493
801.208374	0.356977
802.042725	0.339709
802.877014	0.345385
803.711304	0.341205
804.545593	0.355637
805.379883	0.350446
